round_epochs,val_loss,loss,LSTM_dropout,LSTM_n,batch_size
67,8067.259061391573,7892.071526649014,200,90,0
46,677.093947677463,996.946948569893,400,120,0.2
21,1028010.5709393347,3287723.77852349,400,120,0.1
100,21.065310375564486,20.301457846724748,400,120,0
29,536.3426026346166,267.7505537199494,100,90,0.1
59,90.14477657012044,385.0773947286926,400,60,0.1
51,873.7528095282687,294.65887026178757,100,90,0.2
44,469.17407495308294,415.889279461547,400,60,0.2
100,28.649401423982443,26.05506487980785,200,60,0
21,75981.90681568003,122392.25679005873,200,60,0.1
22,119827.00290484344,757975.8691275168,200,120,0.1
100,33.58296727294324,30.66354087215142,200,120,0
32,2595.271276067148,3166.0166654650798,100,120,0.1
93,150.8708400838296,726.0686299240829,100,30,0.1
56,1846.025171567316,1569.7775154881829,400,90,0.2
100,48.70436550819711,45.65727704963428,100,120,0
65,406.46894463167735,217.08097132740406,200,120,0.2
21,116807.28193798923,172578.85225723573,200,90,0.2
